words,links,capital_words,spam_word_count,is_spam
56,0,3,1,0
291,0,3,0,0
261,2,0,2,0
184,3,2,2,0
199,2,2,0,0
614,9,21,4,1
261,0,0,4,0
426,1,3,1,0
167,5,3,1,0
274,4,23,4,1
160,3,2,9,1
880,5,22,5,1
393,4,6,9,1
66,0,0,1,0
287,2,4,0,0
121,10,19,0,1
172,0,0,3,0
40,2,8,1,0
641,1,8,7,1
429,1,2,2,0
583,4,19,4,1
138,2,3,7,1
191,6,10,9,1
186,6,7,7,1
335,4,21,9,1
589,8,20,6,1
239,1,0,3,0
516,9,2,4,1
87,1,3,1,0
959,9,28,10,1
67,7,22,9,1
460,2,13,8,1
132,3,5,10,1
754,9,24,4,1
741,3,13,10,1
785,4,22,6,1
770,9,0,7,1
101,1,7,7,1
322,9,22,9,1
229,5,10,0,0
259,10,20,7,1
577,3,19,5,1
743,3,4,1,1
215,1,1,0,0
362,8,23,8,1
113,4,0,0,0
241,2,3,1,0
203,0,2,6,0
240,1,1,1,0
532,9,15,10,1
601,7,3,5,1
341,3,11,8,1
150,1,1,0,0
192,10,23,6,1
828,8,12,4,1
776,3,30,3,1
51,2,6,3,1
252,10,17,9,1
266,3,15,6,1
545,7,19,3,1
52,7,12,7,1
396,1,15,0,1
151,4,0,6,1
865,4,1,10,1
284,1,1,0,0
250,10,0,4,1
214,2,0,0,0
161,3,26,8,1
802,4,10,4,1
132,2,2,0,0
983,2,11,0,1
350,7,13,8,1
790,3,24,0,1
65,3,2,7,1
173,5,1,2,0
99,10,8,7,1
143,4,0,8,1
832,8,2,10,1
169,2,3,3,0
464,7,9,9,1
250,2,3,6,0
271,4,1,0,0
112,2,5,0,0
229,0,4,6,0
182,2,0,2,0
185,1,2,2,0
691,7,26,10,1
62,0,3,2,0
262,2,0,0,0
792,6,28,7,1
577,6,1,5,1
42,1,2,2,0
109,1,1,1,0
158,6,19,1,1
35,2,3,2,0
553,4,25,4,1
647,2,11,1,1
850,2,7,9,1
288,1,2,5,0
420,0,11,4,1
112,3,12,3,1
193,2,0,8,1
293,1,3,0,0
908,2,29,9,1
83,1,1,0,0
80,1,3,2,0
292,1,3,1,0
161,5,8,6,1
875,8,9,0,1
243,8,30,7,1
129,1,1,2,0
47,2,0,2,0
133,0,2,0,0
48,2,0,5,0
183,2,2,5,0
123,1,3,1,0
926,3,22,5,1
183,1,23,3,1
182,9,27,0,1
427,3,16,6,1
153,8,24,5,1
308,3,19,3,1
379,3,14,10,1
237,1,3,2,0
184,2,0,6,0
637,4,7,9,1
597,10,4,7,1
397,2,11,1,1
381,5,3,2,0
79,1,3,3,0
137,2,0,0,0
865,2,14,4,1
413,1,6,1,0
69,1,1,2,0
383,10,10,1,1
882,1,18,9,1
83,1,0,0,0
148,3,5,1,0
202,1,1,2,0
31,0,3,1,0
218,0,1,6,1
262,1,2,0,0
879,0,5,3,1
156,2,2,1,0
151,0,4,2,0
195,1,0,0,0
208,2,0,2,0
554,5,7,6,1
841,2,28,8,1
415,4,21,10,1
130,0,1,2,0
50,1,3,0,0
359,9,7,8,1
82,3,17,6,1
429,0,3,2,0
788,7,25,10,1
187,2,0,2,0
107,0,2,0,0
52,2,0,0,0
531,3,17,7,1
439,5,7,7,1
161,4,22,3,1
459,2,0,1,0
339,2,1,2,0
224,5,7,0,0
156,2,2,5,0
350,6,1,7,1
133,2,1,0,0
124,1,9,0,0
175,0,0,1,0
254,8,5,5,1
390,7,26,5,1
429,1,3,4,0
684,0,19,2,1
670,2,13,10,1
416,2,0,4,0
232,0,0,1,0
640,2,29,7,1
226,0,0,4,0
177,0,1,1,0
183,2,0,5,0
192,0,17,7,1
295,1,2,5,0
470,1,3,1,0
208,0,0,1,0
127,2,0,4,0
502,2,4,5,1
363,8,9,9,1
935,8,12,5,1
76,3,5,9,1
151,3,26,10,1
71,6,14,5,1
584,9,12,1,1
212,5,1,3,0
231,9,22,5,1
235,8,2,3,1
53,0,1,1,0
447,2,0,0,0
402,3,4,10,1
267,5,2,1,0
471,2,9,6,1
168,0,0,1,0
277,0,1,1,0
334,5,5,9,1
875,2,21,7,1
184,2,0,2,0
156,2,2,1,0
119,0,27,7,1
257,0,2,0,0
73,1,1,2,0
438,3,1,3,1
388,1,9,8,1
967,9,19,9,1
994,8,16,0,1
174,0,3,6,0
98,5,14,5,1
445,1,2,1,0
653,9,30,9,1
54,4,3,1,0
89,1,3,2,0
275,2,0,2,0
153,5,2,6,1
177,2,3,0,0
240,4,0,1,1
167,2,0,2,0
78,6,5,10,1
500,5,8,7,1
274,2,0,1,0
165,4,3,1,0
105,10,15,3,1
937,3,20,4,1
602,6,12,10,1
667,1,1,7,1
56,3,1,5,1
816,9,12,5,1
242,4,0,1,0
158,6,20,10,1
94,1,2,2,0
874,1,1,5,1
260,0,0,0,0
424,10,1,7,1
290,1,2,2,0
193,4,1,2,0
602,8,28,6,1
679,8,7,10,1
901,3,28,6,1
250,10,29,5,1
317,2,0,2,0
189,2,3,2,0
252,2,1,1,0
596,2,6,2,1
81,5,23,3,1
209,0,8,1,0
197,3,3,2,0
252,9,29,3,1
106,8,17,3,1
169,1,0,6,0
186,2,1,1,0
85,0,3,1,0
270,2,1,1,0
81,10,22,8,1
101,3,0,1,1
417,4,4,8,1
142,9,3,5,1
108,1,2,0,0
128,2,3,1,0
104,2,3,0,0
784,2,5,10,1
182,4,17,0,1
23,4,2,6,0
792,3,28,9,1
289,1,2,0,0
267,0,3,6,0
290,1,7,1,0
185,4,26,2,1
850,6,22,10,1
755,10,26,5,1
57,5,16,6,1
459,7,27,3,1
321,9,11,6,1
911,0,5,8,1
788,3,10,3,1
435,0,1,2,0
279,5,2,2,0
671,6,18,0,1
141,1,2,3,1
237,1,4,3,1
157,3,13,9,1
119,2,3,1,0
148,2,3,2,0
163,2,3,2,0
164,1,3,1,0
277,3,0,1,0
867,2,1,8,1
27,1,2,2,0
459,1,0,2,0
971,10,19,4,1
452,5,24,3,1
162,4,25,6,1
60,2,3,2,0
457,2,1,2,0
657,5,28,3,1
414,1,1,0,0
208,4,1,2,0
26,2,1,1,0
147,0,0,1,0
171,4,3,0,0
79,1,0,2,0
164,9,25,6,1
749,1,4,3,1
521,7,25,2,1
21,1,7,3,0
444,8,0,6,1
200,1,5,1,0
446,0,4,2,0
143,8,30,6,1
241,2,2,2,0
103,1,3,2,0
170,5,1,0,0
336,2,9,9,1
663,6,22,9,1
106,1,0,0,0
264,1,4,1,0
142,9,8,8,1
167,0,2,1,0
134,2,16,2,1
21,0,1,2,0
243,5,9,4,1
885,3,14,5,1
201,2,1,2,0
294,0,2,1,0
860,5,16,6,1
926,0,20,8,1
168,2,1,2,0
107,4,18,8,1
525,3,20,1,1
195,0,0,1,0
156,3,9,5,1
173,1,7,2,1
421,10,9,3,1
198,5,27,0,1
744,6,2,3,1
641,10,14,3,1
155,5,9,2,0
442,0,23,5,1
240,1,1,1,0
277,2,1,2,0
228,1,2,2,0
551,0,21,8,1
923,2,17,1,1
50,10,4,6,1
199,2,22,4,1
892,7,24,8,1
686,5,23,9,1
202,1,1,1,0
115,10,29,8,1
288,3,1,1,0
192,0,29,4,1
345,2,1,1,0
706,1,6,4,1
116,2,5,0,0
487,5,3,2,0
389,1,27,2,1
454,2,0,5,0
463,1,3,1,0
241,1,5,1,0
157,1,2,0,0
118,0,1,5,1
673,1,19,3,1
215,1,1,0,0
230,1,2,2,0
872,7,11,7,1
37,2,2,2,0
125,2,12,3,1
120,5,15,5,1
62,10,1,9,1
992,9,18,3,1
231,1,3,6,0
153,5,0,0,0
131,1,2,4,0
119,5,23,1,1
959,3,28,4,1
629,7,29,10,1
880,8,24,10,1
889,3,16,8,1
394,3,4,3,1
192,1,1,1,0
119,2,9,6,1
30,0,2,4,0
429,9,27,9,1
131,10,16,7,1
61,3,0,6,1
879,8,19,6,1
153,2,29,4,1
943,7,30,4,1
799,7,28,5,1
432,9,29,10,1
948,8,2,8,1
706,0,17,6,1
466,0,28,9,1
127,0,3,6,0
211,1,2,4,0
448,2,10,4,0
568,8,20,0,1
447,1,8,2,0
171,6,14,10,1
254,0,1,2,0
196,10,1,8,1
668,9,1,5,1
161,4,4,1,1
440,4,4,2,0
163,0,10,2,0
289,0,0,2,0
134,0,2,5,0
758,2,21,3,1
473,1,0,2,0
957,1,10,3,1
846,2,23,1,1
721,5,19,1,1
718,6,8,4,1
125,0,0,0,0
575,5,27,4,1
182,2,9,10,1
750,3,18,3,1
167,3,29,3,1
58,1,0,1,0
668,8,5,3,1
299,0,2,0,0
858,5,12,3,1
874,8,5,8,1
405,0,5,2,1
118,8,3,0,1
188,1,1,1,0
312,3,3,2,0
131,8,10,3,1
176,0,7,6,0
434,4,8,7,1
772,4,14,2,1
274,0,19,6,1
188,1,3,2,0
162,4,2,5,0
189,0,2,0,0
812,10,6,3,1
701,4,7,7,1
80,0,2,6,0
229,3,24,6,1
111,0,1,6,0
57,0,2,0,0
400,3,22,10,1
184,2,4,1,0
231,0,4,2,0
275,9,3,5,1
231,2,0,2,0
723,2,3,5,1
526,2,24,6,1
587,6,1,10,1
87,0,3,1,0
880,1,17,7,1
214,1,2,1,0
60,6,7,8,1
649,7,11,0,1
412,1,2,2,0
454,4,15,2,1
794,2,11,9,1
201,2,16,8,1
531,4,10,1,1
68,1,3,0,0
214,2,3,0,0
574,4,27,8,1
83,1,2,1,0
189,5,5,7,1
288,10,21,3,1
911,3,18,8,1
106,0,2,1,0
92,2,5,1,1
262,5,6,0,1
282,1,0,0,0
254,0,1,1,0
241,4,5,6,1
870,7,1,10,1
833,1,19,7,1
217,3,18,9,1
100,5,3,2,0
592,9,26,6,1
355,1,15,5,1
141,0,12,4,1
61,1,2,1,0
295,2,2,1,0
136,0,1,2,0
59,5,3,1,0
259,1,0,2,0
296,0,1,1,0
67,1,0,4,0
35,0,1,0,0
71,2,8,2,0
292,5,2,1,0
79,0,3,2,0
167,0,2,0,0
88,1,5,1,0
239,2,7,2,0
977,7,8,4,1
589,10,8,8,1
191,6,19,8,1
591,9,7,4,1
271,1,0,2,0
124,2,29,5,1
194,10,27,5,1
224,2,3,2,0
218,2,2,0,0
622,5,1,7,1
351,2,23,0,1
227,2,0,2,0
277,1,1,0,0
192,7,13,4,1
68,8,2,8,1
82,10,8,0,1
158,1,10,1,0
74,0,1,1,0
410,0,0,2,0
246,9,19,3,1
208,0,0,0,0
314,7,24,2,1
858,8,8,4,1
595,3,30,6,1
719,4,5,5,1
162,1,1,3,0
247,1,7,6,1
204,2,3,0,0
276,1,7,2,0
464,5,0,2,0
423,10,5,6,1
262,2,2,2,0
65,6,16,10,1
206,5,3,1,0
379,0,3,2,0
165,1,1,1,0
91,5,4,4,1
254,5,3,2,0
761,2,2,6,1
837,5,2,6,1
219,4,0,2,0
359,0,2,2,0
868,9,14,5,1
258,1,1,1,0
134,2,22,9,1
986,5,27,5,1
359,0,1,6,1
476,10,11,8,1
864,9,29,4,1
142,4,0,0,0
731,10,0,8,1
259,7,0,5,1
679,3,16,5,1
111,2,7,3,1
161,2,1,1,0
232,1,0,1,0
146,2,10,2,0
247,2,3,2,0
228,1,3,2,0
121,1,3,6,0
958,2,2,4,1
174,1,0,4,1
45,0,4,1,0
330,1,3,3,1
176,5,4,4,1
277,1,5,2,0
243,2,2,4,0
161,6,22,3,1
36,0,3,2,0
72,2,0,2,0
818,6,7,0,1
198,6,19,1,1
895,4,22,2,1
546,0,22,7,1
553,3,9,10,1
98,6,3,6,1
210,4,0,1,0
289,0,0,0,0
579,3,7,10,1
338,2,1,2,0
94,0,0,0,0
461,1,2,0,0
410,5,0,10,1
63,2,3,2,0
179,9,29,3,1
133,3,20,1,1
297,1,8,2,0
657,2,4,3,1
220,2,0,2,0
465,6,12,6,1
169,0,0,2,0
133,0,20,6,1
187,5,23,10,1
659,1,13,5,1
81,0,9,1,0
298,2,1,6,0
66,3,18,8,1
51,5,7,2,0
92,1,0,1,0
115,6,4,3,1
236,2,1,2,0
151,0,0,5,0
569,3,1,8,1
849,2,8,1,1
68,0,0,2,0
74,0,2,0,0
288,0,3,2,0
188,2,9,3,0
623,4,25,3,1
904,3,23,7,1
244,1,0,0,0
61,1,2,2,0
242,3,1,6,0
178,2,0,2,0
196,7,19,1,1
198,2,0,0,0
217,8,24,2,1
89,1,2,1,0
488,0,3,2,0
207,4,3,0,0
975,8,20,5,1
228,1,0,2,0
291,5,1,0,0
171,1,0,5,1
260,5,2,2,0
387,3,19,3,1
879,5,7,8,1
140,2,20,3,1
106,1,1,0,0
26,1,3,0,0
162,9,4,10,1
220,1,0,0,0
204,1,2,0,0
173,2,1,1,0
728,6,5,9,1
601,8,5,9,1
241,5,26,3,1
206,1,1,2,0
137,4,3,0,0
195,0,3,2,0
571,10,16,4,1
167,2,13,1,1
203,2,3,1,0
223,1,6,3,0
86,2,3,1,0
59,0,1,2,0
502,6,4,5,1
56,0,8,1,0
223,1,0,5,0
718,2,4,8,1
161,5,5,0,0
130,3,3,1,0
216,1,0,5,0
849,0,30,2,1
282,0,5,6,0
337,9,25,4,1
75,0,0,2,0
53,1,3,2,0
64,9,10,6,1
49,0,0,0,0
160,2,1,2,0
262,1,0,0,0
383,8,0,0,1
266,1,3,0,0
222,2,0,5,0
258,2,0,0,0
199,2,2,1,0
403,3,4,4,1
503,5,20,6,1
238,0,10,0,0
676,5,24,5,1
284,9,26,6,1
975,5,27,5,1
356,2,1,8,1
734,8,22,3,1
324,5,25,8,1
38,0,0,2,0
671,7,7,9,1
233,5,1,2,0
300,1,1,5,0
298,3,22,8,1
174,1,2,3,0
142,5,4,10,1
58,9,6,4,1
243,2,2,2,0
343,5,5,0,0
788,3,0,8,1
730,8,20,4,1
234,4,29,5,1
296,0,0,5,0
475,0,0,2,0
482,6,10,4,1
98,2,0,2,0
143,6,20,3,1
656,9,13,3,1
63,2,17,0,1
247,2,2,0,0
499,4,0,1,1
72,2,17,1,1
45,0,2,0,0
132,6,14,7,1
387,1,3,0,0
363,0,2,0,0
560,5,17,3,1
351,1,0,0,0
260,2,7,1,0
194,0,3,5,0
73,0,0,0,0
842,2,23,0,1
176,0,11,1,1
75,1,4,0,0
395,0,0,3,0
750,7,4,10,1
153,2,0,4,0
218,2,0,4,0
992,2,7,1,1
350,9,7,1,1
139,0,3,1,0
590,5,5,8,1
39,1,2,0,0
994,2,10,6,1
69,0,2,2,0
159,4,3,0,0
97,2,1,1,0
297,0,1,2,0
137,7,18,7,1
270,2,3,0,0
53,0,2,4,0
822,2,10,8,1
614,0,16,5,1
622,9,22,7,1
589,2,3,10,1
26,4,1,1,0
451,1,29,10,1
625,3,2,10,1
274,4,3,4,0
250,5,5,2,0
273,2,26,6,1
41,2,0,2,0
594,6,19,3,1
588,3,11,6,1
125,1,27,4,1
62,2,2,0,0
159,0,23,0,1
621,10,28,2,1
275,1,1,6,0
294,2,3,5,0
98,2,2,0,0
322,0,2,4,0
523,2,12,4,1
66,0,1,0,0
181,1,4,3,0
405,9,1,4,1
73,1,3,1,0
382,1,14,0,1
159,2,2,1,0
421,7,17,5,1
58,1,3,1,0
356,10,17,4,1
103,2,25,7,1
197,7,0,10,1
216,0,6,6,0
168,5,5,3,1
232,1,2,2,0
138,0,3,0,0
38,2,6,1,0
316,8,11,8,1
232,2,30,6,1
905,4,11,8,1
760,10,9,7,1
189,0,3,1,0
182,1,0,1,0
953,10,29,7,1
271,2,2,0,0
344,0,3,1,0
57,2,0,5,0
274,2,0,2,0
287,1,3,1,0
25,5,2,1,0
558,6,24,5,1
54,1,6,0,0
54,2,1,1,0
157,3,15,3,1
123,4,2,2,0
610,8,20,5,1
77,2,5,3,1
843,10,3,5,1
599,4,15,10,1
629,9,21,1,1
159,1,1,1,0
724,5,3,5,1
177,0,0,0,0
121,10,23,7,1
153,4,3,2,0
112,3,13,7,1
259,2,7,7,1
731,0,21,3,1
732,6,27,7,1
519,6,8,6,1
210,3,5,9,1
192,2,30,7,1
180,1,4,1,0
935,5,28,6,1
226,4,8,9,1
934,7,11,4,1
103,1,3,1,0
125,8,28,4,1
237,3,1,0,0
237,0,3,2,0
469,0,10,3,1
806,10,23,7,1
318,4,25,6,1
137,2,30,10,1
412,6,6,4,1
137,10,2,2,1
195,9,14,0,1
765,6,9,7,1
917,6,2,3,1
333,10,13,6,1
233,1,2,0,0
136,6,18,4,1
446,0,2,0,0
326,1,2,0,0
569,7,10,5,1
167,2,12,7,1
184,1,0,8,1
50,3,26,2,1
1000,3,23,3,1
341,4,8,2,0
781,8,16,7,1
133,1,5,0,0
503,10,13,3,1
233,1,0,1,0
309,2,26,7,1
180,0,25,10,1
376,0,7,5,1
388,5,17,5,1
244,2,2,2,0
544,1,15,5,1
162,3,3,5,0
723,7,13,10,1
272,10,8,4,1
175,1,3,1,0
393,5,8,10,1
599,2,18,9,1
108,1,3,2,0
225,0,3,6,0
32,4,3,2,0
733,7,9,9,1
27,1,6,2,0
194,3,19,3,1
52,2,0,1,0
290,10,18,0,1
129,10,1,5,1
54,2,0,0,0
286,3,23,3,1
151,9,23,6,1
438,1,3,5,0
248,0,5,4,0
156,0,0,2,0
119,0,3,1,0
32,1,2,0,0
415,5,3,1,0
165,0,10,1,0
523,7,18,7,1
533,2,5,4,1
178,1,1,1,0
133,0,0,1,0
515,3,9,1,1
178,2,18,5,1
287,5,14,10,1
388,3,21,9,1
178,1,2,2,0
166,0,22,7,1
535,3,11,3,1
487,5,6,3,1
231,8,6,7,1
50,2,23,7,1
190,3,26,2,1
42,2,3,2,0
159,0,1,2,0
213,0,0,2,0
37,1,2,2,0
203,0,10,2,0
284,2,3,1,0
640,5,4,5,1
327,2,0,10,1
136,4,1,2,0
552,4,23,9,1
391,4,22,4,1
547,3,2,3,1
495,0,2,6,0
177,2,1,1,0
122,4,0,4,0
273,2,3,2,0
156,2,3,2,0
299,2,6,7,1
195,3,17,6,1
213,2,9,1,0
138,2,11,3,1
92,0,3,0,0
610,4,25,3,1
798,5,12,7,1
217,1,1,2,0
221,1,4,1,0
696,4,3,3,1
764,6,14,10,1
252,0,2,4,0
63,2,5,2,0
897,9,23,10,1
659,2,27,3,1
163,0,7,1,0
778,4,28,6,1
64,1,2,0,0
332,7,5,6,1
76,4,8,8,1
59,4,1,2,0
89,2,2,2,0
66,1,3,2,0
212,3,19,7,1
121,8,10,8,1
622,7,9,1,1
306,0,26,10,1
168,3,27,5,1
371,2,9,5,1
617,2,14,6,1
935,5,18,9,1
200,4,0,2,0
149,3,25,6,1
632,4,24,4,1
937,8,7,8,1
100,3,11,8,1
227,3,1,1,0
682,4,16,3,1
959,3,13,10,1
539,4,4,3,1
239,1,0,2,0
234,1,3,1,0
207,0,2,0,0
930,0,5,7,1
195,2,0,1,0
103,0,0,1,0
542,2,12,3,1
680,4,8,0,1
962,8,5,5,1
153,5,10,0,0
46,1,5,1,0
101,1,0,0,0
144,1,4,0,0
193,1,3,1,0
300,2,1,4,0
142,2,1,0,0
88,1,25,10,1
99,2,21,7,1
761,3,8,4,1
193,2,2,1,0
127,1,1,1,0
126,0,0,1,0
760,2,24,3,1
290,1,0,0,0
220,3,13,3,1
301,10,3,6,1
301,10,30,3,1
103,8,6,10,1
872,5,0,10,1
100,7,20,5,1
304,3,25,8,1
107,2,3,2,0
80,4,19,6,1
84,0,0,0,0
176,0,2,0,0
204,0,3,1,0
291,1,1,2,0
99,0,1,1,0
125,6,24,5,1
159,1,0,2,0
249,1,3,1,0
297,2,0,2,0
507,3,3,10,1
70,4,5,6,1
455,2,3,1,0
902,7,9,1,1
66,2,29,3,1
53,0,0,1,0
908,5,4,8,1
281,1,3,0,0
98,2,0,3,0
170,2,9,2,0
639,2,2,5,1
957,3,19,8,1
514,9,7,7,1
180,7,21,4,1
438,4,1,0,0
126,1,2,1,0
311,9,29,3,1
198,7,22,8,1
210,0,0,4,0
738,7,22,8,1
447,6,21,9,1
125,1,0,2,0
60,0,9,4,0
366,2,1,1,0
151,0,0,2,0
171,4,1,6,1
784,9,6,3,1
396,4,16,4,1
212,2,3,1,0
196,4,2,3,0
269,0,0,0,0
156,8,24,2,1
560,3,23,9,1
376,4,30,10,1
898,10,25,3,1
58,2,1,0,0
117,7,9,10,1
187,4,28,9,1
552,0,13,4,1
710,2,6,7,1
120,0,2,0,0
549,1,18,7,1
811,10,10,8,1
99,0,0,2,0
178,0,0,1,0
142,2,10,3,1
164,2,0,8,1
196,1,2,6,0
394,9,5,5,1
50,1,1,0,0
302,9,22,8,1
333,1,5,10,1
271,1,9,0,0
952,8,27,5,1
121,2,10,3,1
182,2,15,8,1
183,2,0,1,0
425,1,2,0,0
101,4,0,5,1
828,4,17,1,1
452,4,20,5,1
715,8,14,7,1
766,10,11,10,1
246,0,1,2,0
269,3,0,2,0
121,7,29,3,1
116,3,30,3,1
100,2,10,2,1
318,2,3,0,0
400,0,10,0,0
134,5,1,0,0
849,7,0,4,1
459,1,0,2,0
108,4,16,9,1
190,6,13,6,1
647,7,22,9,1
161,1,3,1,0
137,1,3,0,0
997,2,17,4,1
328,0,12,6,1
161,1,3,1,0
432,9,14,3,1
153,2,10,5,0
822,9,20,5,1
222,3,26,9,1
285,1,2,1,0
900,9,6,6,1
83,5,1,2,0
825,5,5,0,1
172,2,0,4,1
612,10,20,4,1
714,2,16,9,1
493,3,1,4,0
198,4,27,10,1
84,2,0,3,1
137,0,3,1,0
639,3,17,3,1
186,2,5,6,1
220,2,1,1,0
96,7,5,10,1
778,3,10,3,1
183,3,4,3,1
299,7,10,8,1
92,0,1,2,0
194,2,0,5,0
848,2,1,4,1
212,0,4,0,0
179,5,9,9,1
997,0,6,6,1
767,5,4,6,1
443,0,0,1,0
87,3,0,2,0
665,3,4,10,1
238,3,11,9,1
156,2,4,8,1
241,2,10,2,0
255,8,21,9,1
204,2,2,2,0
151,3,11,4,1
396,4,11,7,1
560,1,3,8,1
154,7,21,8,1
253,0,3,0,0
217,0,3,0,0
126,4,3,1,0
343,0,30,10,1
139,2,10,0,0
416,3,5,8,1
214,0,7,1,0
633,6,20,6,1
599,7,9,9,1
858,6,1,4,1
183,0,2,0,0
322,4,7,1,1
405,1,3,2,0
866,7,5,8,1
395,4,6,10,1
235,1,0,1,0
826,7,5,0,1
56,2,3,0,0
125,1,3,2,0
252,2,2,2,0
630,5,5,4,1
167,2,3,4,0
298,0,1,1,0
858,7,20,1,1
272,1,2,1,0
290,0,1,0,0
77,3,3,2,0
253,3,18,7,1
149,2,0,0,0
261,1,3,0,0
206,0,2,2,0
469,7,2,10,1
127,4,3,1,0
352,0,3,0,0
326,1,0,1,0
500,4,18,3,1
100,1,1,1,0
183,4,2,3,0
170,2,16,5,1
74,1,1,0,0
245,2,2,2,0
501,2,9,8,1
281,2,7,2,0
425,6,2,5,1
169,1,2,6,0
376,2,26,7,1
147,2,21,5,1
206,0,2,0,0
275,1,2,2,0
90,4,27,10,1
149,1,0,0,0
309,0,26,8,1
409,2,15,3,1
169,0,0,2,0
559,4,19,4,1
174,10,18,7,1
125,2,3,6,0
159,0,2,1,0
914,10,5,10,1
108,10,20,5,1
345,0,1,1,0
152,0,10,2,0
802,10,30,8,1
991,5,26,3,1
163,1,1,3,0
477,2,25,10,1
836,1,24,8,1
178,0,1,0,0
666,3,20,4,1
221,0,6,1,0
273,1,0,2,0
873,0,17,8,1
145,1,5,5,0
694,5,11,1,1
37,0,2,0,0
215,2,0,1,0
168,9,22,0,1
272,5,20,5,1
272,2,3,0,0
124,1,1,2,0
273,2,3,1,0
66,2,14,5,1
180,10,23,6,1
191,0,3,2,0
992,1,18,1,1
118,9,13,10,1
235,1,3,2,0
162,5,5,9,1
174,0,2,1,0
137,3,3,2,0
127,9,2,7,1
145,2,7,2,0
414,3,14,3,1
164,2,3,1,0
679,10,7,6,1
25,2,3,1,0
816,2,1,2,1
458,2,2,2,0
205,0,0,1,0
747,8,18,5,1
427,2,2,1,0
98,0,8,1,0
181,0,2,2,0
51,0,2,0,0
213,2,10,4,0
183,5,24,9,1
119,3,5,4,1
645,6,23,3,1
197,3,3,2,0
313,1,10,2,0
258,0,2,2,0
20,1,1,2,0
33,1,2,2,0
448,2,11,0,1
161,6,16,4,1
713,2,3,2,1
165,0,20,4,1
113,2,1,1,0
897,8,25,2,1
314,5,15,7,1
425,0,2,1,0
270,0,4,5,0
275,2,26,7,1
43,2,1,1,0
168,4,2,1,0
385,4,2,6,1
226,0,3,0,0
107,1,0,2,0
373,4,1,3,0
699,4,11,10,1
155,2,8,1,0
261,1,2,2,0
125,1,1,0,0
565,10,14,10,1
383,1,1,0,0
278,2,7,7,1
393,5,1,1,0
94,1,3,0,0
409,5,16,2,1
306,2,7,0,0
149,6,25,5,1
153,8,6,6,1
24,4,0,5,0
102,2,0,2,0
419,1,2,0,0
202,3,8,6,1
167,2,17,6,1
324,0,8,3,0
350,7,22,7,1
431,6,20,10,1
274,0,3,1,0
140,1,5,4,0
164,7,10,6,1
126,0,13,10,1
76,0,2,2,0
192,9,5,10,1
20,1,3,0,0
184,0,4,0,0
165,0,1,1,0
300,9,4,6,1
609,6,5,2,1
28,0,1,0,0
277,2,1,1,0
100,7,21,6,1
513,4,4,1,1
841,4,15,9,1
312,2,2,2,0
216,10,24,3,1
134,2,1,2,0
153,3,30,3,1
399,1,2,0,0
222,2,0,0,0
26,1,2,1,0
